latitude,longitude
44.6975,21.61472
44.71027,21.61639
44.71771,21.61565
44.7475,21.60416
44.75361,21.60028
44.75889,21.595
44.76333,21.58833
44.77166,21.56555
44.77638,21.54305
44.77833,21.52444
44.77777,21.47472
44.77667,21.45361
44.77973,21.40587
44.78082,21.4004
44.78593,21.3942
44.82314,21.36209
44.86444,21.36611
44.86861,21.37306
44.87499,21.40028
44.8775,21.41528
44.87639,21.44444
44.87444,21.46278
44.87528,21.47889
44.87972,21.50222
44.88944,21.54861
44.89083,21.55278
44.89333,21.55583
44.89611,21.55861
44.90055,21.55972
44.90861,21.55972
44.91861,21.55639
44.92806,21.55139
44.93388,21.54694
44.93861,21.54083
44.94416,21.52778
44.96166,21.47556
44.96305,21.47083
44.96444,21.45916
44.96027,21.44111
44.96166,21.42972
44.97111,21.40889
44.97333,21.40555
44.99667,21.37611
45.00222,21.37111
45.00833,21.36694
45.01555,21.36722
45.01861,21.36944
45.02083,21.37278
45.02333,21.38194
45.0536,21.44305
45.12333,21.51278
45.12694,21.51416
45.13972,21.51611
45.14777,21.51527
45.15111,21.51361
45.18361,21.48278
45.18745,21.47337
45.21472,21.41666
45.21611,21.405
45.21777,21.35139
45.22972,21.27639
45.23277,21.2675
45.31638,21.04889
45.34583,20.98666
45.47888,20.80833
45.50777,20.79417
45.60222,20.76833
45.60999,20.76667
45.61916,20.76694
45.62277,20.76833
45.62917,20.7725
45.6375,20.78055
45.64944,20.79611
45.65666,20.79889
45.74416,20.80472
45.75722,20.80444
45.76416,20.80139
45.76917,20.79583
45.77305,20.78806
45.77389,20.78278
45.77361,20.77694
45.77194,20.77305
45.76666,20.7675
45.75972,20.76416
45.75028,20.75777
45.74361,20.74778
45.7411,20.73861
45.74,20.7275
45.74056,20.72166
45.74389,20.71333
45.74611,20.71
45.79556,20.66417
45.80194,20.66055
45.81305,20.65694
45.83083,20.65694
45.83389,20.655
45.89417,20.59166
45.90333,20.57889
45.91,20.56194
45.9125,20.54556
45.91222,20.52667
45.91306,20.51555
45.91583,20.50639
45.97805,20.37805
45.98499,20.36833
45.99333,20.36083
46.00305,20.355
46.01028,20.35278
46.02361,20.35361
46.02722,20.3525
46.06361,20.32139
46.11485,20.26102
46.13027,20.26444
46.13972,20.27083
46.14472,20.27667
46.14694,20.28528
46.15944,20.34028
46.18111,20.48695
46.17305,20.53528
46.16499,20.56333
46.155,20.58278
46.13139,20.61944
46.13027,20.62472
46.14222,20.67944
46.15039,20.69589
46.15666,20.70639
46.16555,20.72055
46.1711,20.72583
